T Sal w/s NH3sw NH3g dela_c kg minflux maxflux
8.55 35.11 7.41 3145890.98 2.5 -1105.94 0.0084 -29.41 11.51
9.23 35.17 3.35 1401335.87 1.4 -772.17 0.0038 -11.21 3.03
8.9 35.27 4.86 840162.98 1.6 -1189.54 0.0055 -18.14 2.48
9.3 34.77 2.47 892811.15 3.1 -2668.72 0.0028 -13.88 -0.74
8.97 33.63 2.96 955562.97 3.3 -2897.31 0.0033 -17.27 -1.98
8.4 32.86 2.88 631178.76 5.5 -5258.29 0.0033 -24.07 -10.08
8.85 34.9 2.6 814280.74 3.0 -2611.81 0.0029 -13.86 -1.45
12.89 35.03 8.65 4214380.5 12.1 -9856.63 0.0098 -119.53 -72.58
12.36 35.07 7.18 2966602.7 7.8 -6209.37 0.0081 -70.59 -28.91
11.03 35.1 15.15 4067821.72 5.7 -3685.28 0.0171 -115.17 -5.95
9.37 35.11 12.78 7387745.21 5.2 -1858.43 0.0144 -69.28 19.27
3.2 33.52 6.45 431465.9 8.4 -8206.04 0.0073 -73.88 -45.4
5.93 34.87 2.62 2461767.89 14.0 -13060.14 0.0030 -46.63 -30.31
5.97 34.81 7.61 622486.08 15.9 -15661.88 0.0086 -155.9 -113.14
0.11 32.4 5.48 428087.86 5.6 -5467.82 0.0062 -44.9 -22.72
4.88 34.52 17.47 1376100.21 1.4 -911.05 0.0197 -53.9 13.04
6.91 34.84 5.99 1966250.24 7.5 -6712.56 0.0068 -58.91 -31.66
6.55 35.03 7.82 3499955.71 3.6 -2262.69 0.0088 -42.36 4.05
8.25 34.82 9.23 3714031.63 3.2 -1572.65 0.0104 -45.37 15.21
8.11 35.08 9.83 1988659.81 25.8 -24955.75 0.0111 -355.62 -198.43
7.04 35.06 4.8 2170421.96 5.5 -4615.28 0.0054 -37.1 -12.32
10.5 35 5 2043920.64 7 -6027.42 0.0056 -41.74 -24.35
11.5 35 5 3946565.72 1.37 598.63 0.0056 -5.5 11.38
14.5 35 5 7691755.16 8 -3589.08 0.0056 -42.24 2.16
17.5 35 5 6703146.18 2.7 1706.01 0.0056 -2.19 22.35
18.5 35 5 9682317.58 2 4656.09 0.0056 10.87 41.99
19.56 34.55 11.73 2358714.91 7.60 -5901.74 0.0132 -125.42 66.51
25.78 37.27 7.57 3681579.56 1.43 2049.09 0.0086 -27.73 186.2
26.95 36.89 3.35 3996753.24 3.35 611.35 0.0038 -19.48 88.33
27.92 36.31 7.63 4280520.41 6.58 -2159.61 0.0086 -72.13 198.05
28.00 36.00 9.13 2929548.31 4.50 -1458.77 0.0103 -64.76 226.41
27.43 36.27 7.54 2815206.08 7.51 -4658.91 0.0085 -79.23 148.63
28.17 35.59 6.44 2967141.21 3.69 -590.44 0.0073 -39.8 169.2
27.54 35.36 8.30 2841940.4 3.49 -601.97 0.0094 -49.52 204.19
26.13 36.14 7.81 2572553.49 3.26 -797.27 0.0088 -44.72 164.07
24.37 36.28 5.69 3928739.78 5.76 -2268.63 0.0064 -48.77 77.58
24.14 36.68 3.27 3859438.98 5.61 -2217.66 0.0037 -27.47 43.48
24.18 37.34 1.93 3863474.91 2.88 520.49 0.0022 -10.27 31.7
22.78 37.38 6.51 3492485.99 3.59 -690.33 0.0074 -39.95 84.97
21.27 37.04 8.61 2741659.56 1.29 841.86 0.0097 -30.57 140.36
20.78 36.80 6.76 2646528.83 1.82 191.14 0.0076 -28.1 104.17
20.52 36.65 4.74 2596823.98 4.41 -2460.01 0.0054 -33.58 57.55
19.39 36.51 2.60 2387161.14 1.92 -212.95 0.0029 -11.11 33.98
17.43 36.24 5.92 2060223.59 5.35 -4004.06 0.0067 -48.36 38.39
16.57 36.09 5.62 1928782.87 3.50 -2281.74 0.0063 -34.13 42.43
14.36 35.83 10.57 2819375.59 5.75 -4143.98 0.0119 -91.26 -9.41
13.30 35.68 11.62 2593948.55 4.97 -3560.33 0.0131 -90.07 -5
13.30 35.67 10.66 2593075.4 3.22 -1814.82 0.0120 -61.63 16.41
13.92 35.49 6.98 2724960.24 6.19 -4669.66 0.0079 -63.75 -10.95
15.63 35.66 6.32 810723.13 0.42 69.61 0.0071 -3.03 8.69
17.06 35.63 7.01 905497.51 0.05 534.57 0.0079 -0.33 14.78
18.70 36.09 8.42 1024282.13 0.05 661.39 0.0095 -0.23 21.61
20.18 36.32 12.86 1143923.59 0.05 798.27 0.0145 -0.09 39.3
22.55 36.40 8.68 1361252.48 0.02 1101.84 0.0098 0.62 34.96
21.51 36.50 5.64 1261531.23 0.1 890.53 0.0064 -0.24 19.95
22.56 36.51 14.10 1362320.05 0.33 785.85 0.0159 -4.05 52.67
21.51 36.54 7.26 1261153.24 0.16 832.86 0.0082 -0.78 25.2
22.68 36.75 14.12 1072729.57 0.16 724.22 0.0159 1.88 25.05
24.74 37.16 2.80 695563.47 0.09 533.65 0.0032 0.09 5.08
25.41 37.38 7.12 399843.62 0.39 -16.49 0.0080 -2.01 2.95
