"HareGasex98ObsCO2ws","HareGasex98ObsCO2k660","HareGasex98COARECO2ws","HareGasex98COARECO2k660","BlomquistCOAREDMSws", "BlomquistCOAREDMSkDMS","BloquistObsDMSws","BloquistObsDMSkDMS","BlomquistGasex01CO2ws","BlomquistGasex01CO2kCO2", "BlomquistGasex98CO2ws","BlomquistGasex98CO2kCO2","HuebertCOARECO2nobubws","HuebertCOARECO2nobubk660", "HuebertCOARECO2bubws","HuebertCOARECO2bubk660","HuebertCOAREDMSnobubws","HuebertCOAREDMSnobubk660", "HuebertCOAREDMSbubws","HuebertCOAREDMSbubk660","HuebertObsDMSws","HuebertObsDMSk660","MillerKnorrbCO2ws","MillerKnorrbCO2k660", "MillerKnorrbDMSws","MillerKnorrbDMSk660","MillerGasex01CO2ws","MillerGasex01CO2k660","MillerGasex98CO2ws","MillerGasex98CO2k660", "MillerKnora+bCO2ws","MillerKnora+bCO2k660","JeffreyCOAREtunedws","JeffreyCOAREtunedk660","JeffreyLissMerw/s","JeffreyLissMerk660","JeffreyNightingaledataws","JeffreyNightingaledatak660","WatsonRoetherdataRadonklws", "WatsonRoetherdataRadonkl","WatsonObsws","WatsonObskl"
2.18,2.93,1.06,2.12,1.03,3.08,2.95,2.55,4,8.12,1.99,2.69,2.12,4.86,2.12,4.86,2.12,4.57,2.12,4.57,2.12,2.67,3.23,9.69,2.62,5.45,3.52,9.29,2.02,3.34,3.22,7.67,0,7.78,0,0,5.87,7.22,12.24,28.12,17.83,54.51
3.56,3.22,2.96,2.95,3.33,5.07,2.79,4.8,5,10.12,3,3.56,2.47,4.86,2.47,4.86,2.46,4.48,2.46,4.38,4.38,4.05,4.86,15.22,3.97,7.21,4.6,9.69,3,2.26,4.87,12.7,0.56,7.5,3.62,0.56,6.01,9.72,10.75,23,12.39,21.87
4.49,4.29,5.05,4.83,4.55,6.4,2.81,4.68,6,12.45,4,4.81,3.41,5.73,3.4,5.99,3.42,5.47,3.42,5.38,4.43,4.66,7.29,18.6,5.02,13.29,5.61,12.01,4.01,2.81,6.13,17.65,1.55,7.22,12.97,27.22,5.48,13.33,8.31,26.4,12.04,18.46
5.51,6.15,7.08,9.07,6.03,8.39,3.74,4.76,7.01,15.28,4.99,6.56,3.45,5.7,3.47,5.76,3.45,5.38,3.47,5.34,4.48,5.15,8.16,22.52,5.77,15.06,6.38,11.4,5.02,5.06,7.37,20.06,2.43,7.5,17.96,56.67,6.79,12.5,8.05,15.04,12.04,17.44
6.53,7.75,7.92,11.72,7.15,10.35,4.12,7.62,8,18.51,6,9.01,3.58,5.7,3.56,5.96,3.57,5.44,3.57,5.31,4.6,4.24,10.24,31.44,7.75,19.13,7.51,11.49,6.01,8,8.38,27.25,3.41,8.33,30,127.46,6.96,11.11,7.53,9.13,,
7.5,10.13,9.95,20.7,7.76,11.65,4.39,6.16,9,22.32,7.01,12.28,3.62,5.83,3.62,6.18,3.62,5.5,3.62,5.63,4.65,9.53,6.2,15.14,10.14,27.13,8.18,16.28,7.01,10.09,9.95,30.58,4.61,10.28,,,7.1,11.39,7.18,5.83,,
8.52,14.1,12.55,39.69,8.42,13.23,4.41,4.6,10.01,26.79,8,16.59,3.79,6.02,3.79,6.31,3.79,5.73,3.79,5.76,4.74,4.31,,,,,8.88,17.91,8,15.04,,,5.73,12.78,,,7.49,13.61,5.94,10.14,,
9.49,17.53,14.17,57.09,8.9,14.43,4.18,4.7,,,8.98,21.98,3.95,5.7,3.94,5.99,3.95,5.41,3.96,5.5,4.77,5.34,,,,,,,9.02,18.06,,,7.21,17.5,,,7.49,18.33,5.13,4.8,,
10.46,24.66,15.46,74.48,9.03,14.73,5.27,7.21,,,10,28.94,4.2,6.63,4.21,7.02,4.21,6.34,4.21,6.31,4.78,3.18,,,,,,,10.01,25.1,,,8.05,20.83,,,6.79,15.56,,,,
11.48,35.2,,,9.52,16.21,5.26,7.29,,,,,4.31,7.28,4.32,7.66,4.31,6.99,4.3,6.99,4.9,5.6,,,,,,,,,,,8.75,23.89,,,8.19,14.17,,,,
