			nicename			mw 	KH	tVar	C	H	N	O	S	Br	Cl	F	I	Se 	db	tb	rings	Vb
H2			H[2]				2.016	7.8e-4	500	0	2	0	0	0	0	0	0	0	0	0	0	0	0
O3			O[3]	        		47.998	0.011	2400	0	0	0	3	0	0	0	0	0	0	1	0	0	0
O2			O[2]		        	31.99	1.3e-3	1700	0	0	0	2	0	0	0	0	0	0	1	0	0	0		
OH			OH	        		17.01	30	4500	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
HO2     		HO[2]		        	32.99   6e3     5500	0	1	0	2	0	0	0	0	0	0	0	0	0	0
H2O2			paste(H[2],O[2])		31.01	50000	7000	0	2	0	2	0	0	0	0	0	0	0	0	0	0
MeOH			paste(CH[3],OH)			32.05	200	5000	1	4	0	1	0	0	0	0	0	0	0	0	0	42.7
EtOH			paste(C[2],H[5],OH)   		46.07	200	6500	2	6	0	1	0	0	0	0	0	0	0	0	0	0
Phenol			paste(C[6],H[5],OH)		94.11	1000	5000	6	6	0	1	0	0	0	0	0	0	3	0	1	0
methylperoxide		paste(CH[3],OOH)		47.04	300	5300	1	4	0	2	0	0	0	0	0	0	0	0	0	0
ethylperoxide		paste(C[2],H[5],OOH)		61.06	340	6000	2	6	0	2	0	0	0	0	0	0	0	0	0	0
HMHP			paste(HOCH[2],OOH)		63.04	1.7e6	9700	1	4	0	3	0	0	0	0	0	0	0	0	0	0
methanal		paste(CH[2],O)			30.03	5000	7000	1	2	0	1	0	0	0	0	0	0	1	0	0	0
ethanal			paste(CH[3],CHO)		44.05	14	6000	2	4	0	1	0	0	0	0	0	0	1	0	0	0
propanal		paste(C[2],H[5],CHO)		55.08	13	5700	3	6	0	1	0	0	0	0	0	0	1	0	0	0
acetone			paste(CH[3],COCH[3])		58.08	25	5000	3	6	0	1	0	0	0	0	0	0	1	0	0	77.6	
butanone		paste(C[2],H[5],COCH[3])	72.11	20	5000	4	8	0	1	0	0	0	0	0	0	1	0	0	0
methylmethanoate	HCOOCH[3]			60.05	4	4000	2	4	0	2	0	0	0	0	0	0	1	0	0	62.7
methylethanoate		paste(CH[3],COOCH[3])		74.08	8	5000	3	6	0	2	0	0	0	0	0	0	1	0	0	0
HNO3			HNO[3]				63.01	500000	8700	0	1	1	3	0	0	0	0	0	0	1	0	0	0
HNO2			NHO[2]				47.01	49	4900	0	1	1	2	0	0	0	0	0	0	1	0	0	0
N2			N[2]				28.01   6.3e-4  1300	0  	0  	2	0	0	0	0	0	0	0	0	1	0	0
N2O			paste(N[2],O)			44.013  2.4e-2  2800    0	0	2	1	0	0	0	0	0	0	2	0	0	0	
NH3			NH[3]				17.03	60	4000	0	3	1	0	0	0	0	0	0	0	0	0	0	25
MMA			paste(CH[3],NH[2])		31.06	100	3000	1	5	1	0	0	0	0	0	0	0	0	0	0	0	
DMA			paste("(",CH[3],")"[2],NH)	45.08	45	4000	2	7	1	0	0	0	0	0	0	0	0	0	0	0
TMA			paste("(",CH[3],")"[3],N)	59.11	9.6	5000	3	9	1	0	0	0	0	0	0	0	0	0	0	0
MEA			paste(C[2],H[5],NH[2])		45.08	50	3600	2	7	1	0	0	0	0	0	0	0	0	0	0	0
DEA			paste("(",C[2],H[5],")"[2],NH)	73.14	40	10000	4	11	1	0	0	0	0	0	0	0	0	0	0	109.3
TEA			paste("(",C[2],H[5],")"[3],N)	101.19	7	5000	6	15	1	0	0	0	0	0	0	0	0	0	0	0
Ethanolamine		paste(HOC[2],H[5],NH[2])	61.08	6000000	10000	2	7	1	1	0	0	0	0	0	0	0	0	0	0
HCN		        HCN				27.03	10	5000	1	1	1	0	0	0	0	0	0	0	0	1	0	0
CH3CN		    	paste(CH[3],CN)			41.05	50	4000	2	3	1	0	0	0	0	0	0	0	0	1	0	55.5
Methylnitrate		paste(CH[3],ONO[2])		77.04	2	4700	1	3	1	3	0	0	0	0	0	0	1	0	0	0	
Ethylnitrate		paste(C[2],H[5],ONO[2])		91.07	1.6	5400	2	5	1	3	0	0	0	0	0	0	1	0	0	0
1Propylnitrate		paste(C[3],H[7],ONO[2])		105.09	1.00001	5500	3	7	1	3	0	0	0	0	0	0	1	0	0	0
2Propylnitrate		paste("(",CH[3],")"[2],CONO[2])	105.09	0.8     5400	3	7	1	3	0	0	0	0	0	0	1	0	0	0
1Butylnitrate		paste(C[4],H[9],ONO[2])		119.12	1.00002	5900	4	9	1	3	0	0	0	0	0	0	1	0	0	0
2Butylnitrate		paste(C[2],H[5],CONO[2],CH[3])	119.12	0.65	5500	4	8	1	3	0	0	0	0	0	0	1	0	0	0
nitromethane		paste(CH[3],NO[2])		61.04	45	4000	1	3	1	2	0	0	0	0	0	0	1	0	0	0
2Nitrophenol		"2-nitrophenol"			139.11	74	4600	6	5	1	3	0	0	0	0	0	0	4	0	1	0
4Nitrophenol		"4-nitrophenol"			139.11	30000	6000	6	5	1	3	0	0	0	0	0	0	4	0	1	0
24Dinitrophenol		"2-4-dinitrophenol"		184.11	10000	5000	6	5	2	5	0	0	0	0	0	0	5	0	1	0
PAN		        "peroxyacetylnitrate"		121.05	4.1	6000	2	3	1	5	0	0	0	0	0	0	1	0	0	0
PPN			"peroxypropylnitrate"		135.07	2.9	6000	3	5	1	5	0	0	0	0	0	0	1	0	0	0
NH2Cl			paste(NH[2],Cl)			51.48	94	4800	0	2	1	0	0	0	1	0	0	0	0	0	0	0
NHCl2		    	NHCl[2]				85.93	21	4200	0	1	1	0	0	0	2	0	0	0	0	0	0	0
I2			I[2]				253.81	3	4500	0	0	0	0	0	0	0	0	2	0	0	0	0	0
IO			IO				142.9	450	5800	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ICl			ICl				162.5	110	5600	0	0	0	0	0	0	1	0	1	0	0	0	0	0
IBr			IBr				206.8	240	5600	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Br2			Br[2]				159.8   0.7     4000	0	0	0	0	0	2	0	0	0	0	0	0	0	0  
BrCl			BrCl				115.4	0.94	5600	0	0	0	0	0	1	1	0	0	0	0	0	0	0
HCl		        HCl				36.46	20	9000	0	1	0	0	0	0	1	0	0	0	0	0	0	30.6
HBr		        HBr				80.91	1.00003	10000	0	1	0	0	0	1	0	0	0	0	0	0	0	0	
HI		        HI				127.904	0.25	9800	0	1	0	0	0	0	0	0	1	0	0	0	0	0
HOI			HOI				143.9	450	5900	0	1	0	1	0	0	0	0	1	0	0	0	0	0	
HOBr			HOBr				96.89	93	5900	0	1	0	1	0	1	0	0	0	0	0	0	0	0
CH3Cl		    	paste(CH[3],Cl)			50.49	0.11	3000	1	3	0	0	0	0	1	0	0	0	0	0	0	50.1		
CH2CL2			paste(CH[2],Cl[2])		84.93	0.4	4000	1	2	0	0	0	0	2	0	0	0	0	0	0	0
CHCl3			CHCl[3]				119.38	0.29	4400	1	1	0	0	0	0	3	0	0	0	0	0	0	0
CCl4			CCl[4]				153.82	0.036	4000	1	0	0	0	0	0	4	0	0	0	0	0	0	103.6
CH3Br			paste(CH[3],Br)			94.94	0.16	3100	1	3	0	0	0	1	0	0	0	0	0	0	0	0
CH2Br2			paste(CH[2],Br[2])		173.88	1.1	4000	1	2	0	0	0	2	0	0	0	0	0	0	0	0
CHBr3			CHBr[3]				252.73	1.9	4300	1	1	0	0	0	3	0	0	0	0	0	0	0	0
CH3I			paste(CH[3],I)			141.94	0.19	4000	1	3	0	0	0	0	0	0	1	0	0	0	0	0
CH2I2		   	paste(CH[2],I[2])		267.84	2.5	5000	1	2	0	0	0	0	0	0	2	0	0	0	0	0
CH2ICl			paste(CH[2],ICl)		176.38	0.89	4300	1	2	0	0	0	0	1	0	1	0	0	0	0	0	  
